"LogName","TimeCreated","ProviderName","Id","Level","RecordId","Message"
"System","3-7-2026 06:43:55","EventLog","6005","Informatie","80260","De Event Log-service is gestart."
"System","3-7-2026 06:44:04","Service Control Manager","7026","Informatie","80334","De volgende opstart- of systeemstartstuurprogramma's zijn niet geladen: 
CTIAIO
dam
EhStorClass
uiomap"
"Application","3-7-2026 06:44:25","Windows Error Reporting","1001","Informatie","83209","Foutbucket 1344808426117301120, type 1
Naam van gebeurtenis: APPCRASH
Antwoord: Niet beschikbaar
Id van CAB-bestand: 0

Handtekening van probleem:
P1: LightingService.exe
P2: 3.10.10.0
P3: 69d75d6a
P4: ntdll.dll
P5: 10.0.26100.8521
P6: d511f2d7
P7: c0000005
P8: 00068f27
P9: 
P10: 

Toegevoegde bestanden:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.3edc314c-e865-4192-aae8-5a4174573b38.tmp.dmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.3fbeb426-a5e1-489f-be88-8b6446ec4fc1.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.60c4db91-e575-40fd-90bb-70219457bbf2.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.29615885-0a11-4cfd-97d4-f4d2cd05fd7b.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.31a07422-c381-454e-80df-22cfdf033561.tmp.xml

Deze bestanden zijn mogelijk hier beschikbaar:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_LightingService._53e2846e5abea5ea5dbaee5ac6e112dafe6_cfedfce0_1c0332a5-f83a-45df-9b61-a7871a0609df

Analysesymbool: 
Opnieuw zoeken naar oplossing: 0
Rapport-id: b35da6a5-6349-47e6-8f8f-13232fc14ed9
Rapportstatus: 268435456
Opgedeelde bucket: 78355b9217a32c3962a9b82371ac8380
GUID van CAB-bestand: 0"
"Application","3-7-2026 07:06:27","Windows Error Reporting","1001","Informatie","83242","Foutbucket , type 0
Naam van gebeurtenis: WindowsWcpOtherFailure3
Antwoord: Niet beschikbaar
Id van CAB-bestand: 0

Handtekening van probleem:
P1: 10.0.26100.8648:1
P2: wcp\componentstore\storelayout.cpp
P3: ComponentStore::CRawStoreLayout::OpenComponentFile
P4: 2237
P5: 800f0983
P6: 0x1fb59e83
P7: 
P8: 
P9: 
P10: 

Toegevoegde bestanden:

Deze bestanden zijn mogelijk hier beschikbaar:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Critical_10.0.26100.8648__415119cf26572507dc7aa6e671d2d2a2062761a_00000000_868cb541-8548-4075-bf23-aadebabe8308

Analysesymbool: 
Opnieuw zoeken naar oplossing: 0
Rapport-id: 868cb541-8548-4075-bf23-aadebabe8308
Rapportstatus: 4
Opgedeelde bucket: 
GUID van CAB-bestand: 0"
"Application","3-7-2026 07:06:27","Windows Error Reporting","1001","Informatie","83243","Foutbucket , type 0
Naam van gebeurtenis: WindowsWcpOtherFailure3
Antwoord: Niet beschikbaar
Id van CAB-bestand: 0

Handtekening van probleem:
P1: 10.0.26100.8648:1
P2: wcp\componentstore\storelayout.cpp
P3: ComponentStore::CRawStoreLayout::OpenComponentFile
P4: 2237
P5: 800f0983
P6: 0x1fb59e83
P7: 
P8: 
P9: 
P10: 

Toegevoegde bestanden:

Deze bestanden zijn mogelijk hier beschikbaar:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Critical_10.0.26100.8648__415119cf26572507dc7aa6e671d2d2a2062761a_00000000_4850cfbc-ee92-49e3-af5e-109ded8782fe

Analysesymbool: 
Opnieuw zoeken naar oplossing: 0
Rapport-id: 4850cfbc-ee92-49e3-af5e-109ded8782fe
Rapportstatus: 4
Opgedeelde bucket: 
GUID van CAB-bestand: 0"
"Application","3-7-2026 07:06:27","Windows Error Reporting","1001","Informatie","83244","Foutbucket , type 0
Naam van gebeurtenis: WindowsWcpOtherFailure3
Antwoord: Niet beschikbaar
Id van CAB-bestand: 0

Handtekening van probleem:
P1: 10.0.26100.8648:1
P2: wcp\componentstore\storelayout.cpp
P3: ComponentStore::CRawStoreLayout::OpenComponentFile
P4: 2237
P5: 800f0983
P6: 0x1fb59e83
P7: 
P8: 
P9: 
P10: 

Toegevoegde bestanden:

Deze bestanden zijn mogelijk hier beschikbaar:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Critical_10.0.26100.8648__415119cf26572507dc7aa6e671d2d2a2062761a_00000000_e39b76ff-daf4-4f6b-8203-bbb482a046b4

Analysesymbool: 
Opnieuw zoeken naar oplossing: 0
Rapport-id: e39b76ff-daf4-4f6b-8203-bbb482a046b4
Rapportstatus: 4
Opgedeelde bucket: 
GUID van CAB-bestand: 0"
"Application","3-7-2026 07:06:27","Windows Error Reporting","1001","Informatie","83245","Foutbucket , type 0
Naam van gebeurtenis: WindowsWcpOtherFailure3
Antwoord: Niet beschikbaar
Id van CAB-bestand: 0

Handtekening van probleem:
P1: 10.0.26100.8648:1
P2: wcp\componentstore\storelayout.cpp
P3: ComponentStore::CRawStoreLayout::OpenComponentFile
P4: 2237
P5: 800f0983
P6: 0x1fb59e83
P7: 
P8: 
P9: 
P10: 

Toegevoegde bestanden:

Deze bestanden zijn mogelijk hier beschikbaar:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Critical_10.0.26100.8648__415119cf26572507dc7aa6e671d2d2a2062761a_00000000_3aab71ee-dc79-4fd9-b2bc-78a1c336176e

Analysesymbool: 
Opnieuw zoeken naar oplossing: 0
Rapport-id: 3aab71ee-dc79-4fd9-b2bc-78a1c336176e
Rapportstatus: 4
Opgedeelde bucket: 
GUID van CAB-bestand: 0"
"Application","3-7-2026 07:06:27","Windows Error Reporting","1001","Informatie","83246","Foutbucket , type 0
Naam van gebeurtenis: WindowsWcpOtherFailure3
Antwoord: Niet beschikbaar
Id van CAB-bestand: 0

Handtekening van probleem:
P1: 10.0.26100.8648:1
P2: wcp\componentstore\storelayout.cpp
P3: ComponentStore::CRawStoreLayout::OpenComponentFile
P4: 2237
P5: 800f0983
P6: 0x1fb59e83
P7: 
P8: 
P9: 
P10: 

Toegevoegde bestanden:

Deze bestanden zijn mogelijk hier beschikbaar:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Critical_10.0.26100.8648__415119cf26572507dc7aa6e671d2d2a2062761a_00000000_e88dfd15-175b-4140-a6fa-e5017c960a03

Analysesymbool: 
Opnieuw zoeken naar oplossing: 0
Rapport-id: e88dfd15-175b-4140-a6fa-e5017c960a03
Rapportstatus: 4
Opgedeelde bucket: 
GUID van CAB-bestand: 0"
"Application","3-7-2026 07:06:27","Windows Error Reporting","1001","Informatie","83247","Foutbucket , type 0
Naam van gebeurtenis: WindowsWcpOtherFailure3
Antwoord: Niet beschikbaar
Id van CAB-bestand: 0

Handtekening van probleem:
P1: 10.0.26100.8648:1
P2: wcp\componentstore\storelayout.cpp
P3: ComponentStore::CRawStoreLayout::OpenComponentFile
P4: 2237
P5: 800f0983
P6: 0x1fb59e83
P7: 
P8: 
P9: 
P10: 

Toegevoegde bestanden:
\\?\C:\Windows\Logs\CBS\CBS.log
\\?\C:\Windows\Logs\CBS\CbsPersist_20260703050521.log
\\?\C:\Windows\Logs\CBS\CbsPersist_20260610132637.cab
\\?\C:\Windows\Logs\CBS\CbsPersist_20260610051235.cab
\\?\C:\Windows\Logs\CBS\CbsPersist_20260610045439.cab
\\?\C:\Windows\Logs\CBS\CbsPersist_20260609034040.cab
\\?\C:\Windows\Logs\CBS\container.etl
\\?\C:\WINDOWS\servicing\Sessions\Sessions.xml
\\?\C:\WINDOWS\WinSxs\poqexec.log
\\?\C:\WINDOWS\Logs\Cbs\FilterList.log

Deze bestanden zijn mogelijk hier beschikbaar:
NULL

Analysesymbool: 
Opnieuw zoeken naar oplossing: 0
Rapport-id: e39b76ff-daf4-4f6b-8203-bbb482a046b4
Rapportstatus: 262148
Opgedeelde bucket: 
GUID van CAB-bestand: 0"
"Application","3-7-2026 07:06:27","Windows Error Reporting","1001","Informatie","83248","Foutbucket , type 0
Naam van gebeurtenis: WindowsWcpOtherFailure3
Antwoord: Niet beschikbaar
Id van CAB-bestand: 0

Handtekening van probleem:
P1: 10.0.26100.8648:1
P2: wcp\componentstore\storelayout.cpp
P3: ComponentStore::CRawStoreLayout::OpenComponentFile
P4: 2237
P5: 800f0983
P6: 0x1fb59e83
P7: 
P8: 
P9: 
P10: 

Toegevoegde bestanden:
\\?\C:\Windows\Logs\CBS\CBS.log
\\?\C:\Windows\Logs\CBS\CbsPersist_20260703050521.log
\\?\C:\Windows\Logs\CBS\CbsPersist_20260610132637.cab
\\?\C:\Windows\Logs\CBS\CbsPersist_20260610051235.cab
\\?\C:\Windows\Logs\CBS\CbsPersist_20260610045439.cab
\\?\C:\Windows\Logs\CBS\CbsPersist_20260609034040.cab
\\?\C:\Windows\Logs\CBS\container.etl
\\?\C:\WINDOWS\servicing\Sessions\Sessions.xml
\\?\C:\WINDOWS\WinSxs\poqexec.log
\\?\C:\WINDOWS\Logs\Cbs\FilterList.log

Deze bestanden zijn mogelijk hier beschikbaar:
NULL

Analysesymbool: 
Opnieuw zoeken naar oplossing: 0
Rapport-id: 868cb541-8548-4075-bf23-aadebabe8308
Rapportstatus: 262148
Opgedeelde bucket: 
GUID van CAB-bestand: 0"
